timestamp,name,price,image_url
2025-04-22 13:24:34,Campus Sutra Men's Sage Green Checked Textured Regular Fit Sweater For Winter Wear,₹899,https://th.bing.com/th?id=OPAC.5er8%2FwluYUAAew474C474&w=1200&h=800&c=17&dpr=1.3&pid=21.1
2025-04-22 13:24:34,XYXX Men Regular Fit Colourblocked Winter Fleece Jacket,"₹1,499",https://th.bing.com/th?id=OPAC.5er8%2FwluYUAAew474C474&w=1200&h=800&c=17&dpr=1.3&pid=21.1
2025-04-22 14:08:56,KLOTTHE Women Woolen Sherpa Heavy Winter Jacket,"₹1,997",https://th.bing.com/th/id/OPAC.fNw0RF5bxnsA0w474C474?w=1200&h=800&o=5&pid=21.1
2025-04-22 14:08:56,KLOTTHE Women Solid Sherpa Heavy Winter Jacket,"₹1,997",https://th.bing.com/th/id/OPAC.8YZmZSk1aRoMTA474C474?w=1200&h=800&c=17&dpr=1.3&pid=21.1
2025-04-22 14:08:56,Kotty Women Winters Striped Crop Puffer Jacket,₹959,https://th.bing.com/th/id/OPAC.vZxyXWJzlYqOYg474C474?w=1200&h=800&c=17&dpr=1.3&pid=21.1
2025-04-22 14:08:56,KLOTTHE Women White Solid Sherpa Heavy Winter Jacket,"₹1,997",https://th.bing.com/th/id/OPAC.8YZmZSk1aRoMTA474C474?w=1200&h=800&c=17&dpr=1.3&pid=21.1
2025-04-22 14:08:56,Dressberry Women Pure Acrylic Checked Knitted Winter Co-Ords Set,₹909,https://th.bing.com/th/id/OPAC.8YZmZSk1aRoMTA474C474?w=1200&h=800&c=17&dpr=1.3&pid=21.1
2025-04-22 14:08:56,Stylecast Women Pink Longline Parka Jacket,"₹2,357",https://th.bing.com/th/id/OPAC.8YZmZSk1aRoMTA474C474?w=1200&h=800&c=17&dpr=1.3&pid=21.1
2025-04-22 14:08:56,Dressberry Women Grey Solid Hooded Faux Fur Parka Jacket,"₹1,721",https://th.bing.com/th/id/OPAC.8YZmZSk1aRoMTA474C474?w=1200&h=800&c=17&dpr=1.3&pid=21.1
2025-04-22 14:08:56,Roadster Women Black Solid Reversible Parka,"₹2,474",https://th.bing.com/th/id/OPAC.8YZmZSk1aRoMTA474C474?w=1200&h=800&c=17&dpr=1.3&pid=21.1
